year,month,day,home,away,OT,hFinal,h1,h2,h3,h4,hOT1,hOT2,hOT3,aFinal,a1,a2,a3,a4,aOT1,aOT2,aOT3,hW,hL,hP,hGB,hPSG,hPAG,aW,aL,aP,aGB,aPSG,aPAG,dow,doy
1990,01,02,MIL,ATL,0,107,20,29,25,33,0,0,0,113,21,27,34,31,0,0,0,15,14,.517,4.5,104.8,105.1,17,11,.607,2,110.4,108.4,2,1
1990,01,02,IND,DAL,0,106,21,24,32,29,0,0,0,110,35,20,24,31,0,0,0,19,10,.655,0.5,107.8,106.7,16,13,.552,4.5,101.6,100.9,2,1
1990,01,02,UTA,GSW,0,120,27,23,32,38,0,0,0,133,30,40,37,26,0,0,0,19,10,.655,1.5,106.1,102.1,11,17,.393,10.5,112.5,116.0,2,1
1990,01,02,LAC,MIN,0,87,22,22,22,21,0,0,0,79,28,21,14,16,0,0,0,11,16,.407,10,103.2,103.5,6,24,.200,15,95.4,101.0,2,1
1990,01,02,PHO,NYK,0,113,28,32,23,30,0,0,0,99,25,26,29,19,0,0,0,13,13,.500,7.5,112.4,107.0,20,8,.714,0,111.9,106.3,2,1
1990,01,02,DET,ORL,0,115,25,27,33,30,0,0,0,113,20,28,30,35,0,0,0,19,11,.633,1,101.8,97.6,9,21,.300,11,108.8,114.8,2,1
1990,01,02,MIA,POR,0,95,20,28,25,22,0,0,0,119,30,24,41,24,0,0,0,7,24,.226,14.5,96.9,108.1,20,10,.667,2.5,111.1,106.9,2,1
1990,01,02,NJN,WSB,0,96,18,30,22,26,0,0,0,110,35,24,29,22,0,0,0,8,21,.276,12.5,94.8,102.3,13,16,.448,7.5,104.9,104.7,2,1
1990,01,03,WSB,BOS,0,101,20,33,27,21,0,0,0,120,37,27,28,28,0,0,0,13,17,.433,8,104.7,105.2,18,11,.621,2.5,107.0,103.3,3,2
1990,01,03,CHI,CLE,0,93,27,20,22,24,0,0,0,87,21,30,13,23,0,0,0,20,9,.690,0,108.4,104.9,11,17,.393,8.5,98.3,102.5,3,2
1990,01,03,LAC,DET,0,80,20,19,23,18,0,0,0,84,22,13,23,26,0,0,0,11,17,.393,11,102.4,102.8,20,11,.645,1,101.3,97.0,3,2
1990,01,03,IND,HOU,0,103,24,17,29,33,0,0,0,117,36,29,26,26,0,0,0,19,11,.633,1.5,107.6,107.0,13,18,.419,9,103.7,103.7,3,2
1990,01,03,DEN,LAL,0,98,27,32,17,22,0,0,0,114,26,32,26,30,0,0,0,19,11,.633,2.5,116.2,112.4,22,6,.786,0,107.5,100.1,3,2
1990,01,03,MIL,NJN,0,110,17,39,26,28,0,0,0,96,28,10,39,19,0,0,0,16,14,.533,4.5,105.0,104.8,8,22,.267,13,94.8,102.5,3,2
1990,01,03,PHI,SAS,0,94,36,20,21,17,0,0,0,103,26,22,31,24,0,0,0,15,14,.517,5.5,105.2,103.0,20,7,.741,0,105.9,101.4,3,2
1990,01,03,UTA,SEA,0,119,23,28,31,37,0,0,0,108,25,22,28,33,0,0,0,20,10,.667,1.5,106.5,102.3,13,14,.481,8.5,110.0,106.9,3,2
